,band_name,fans,formed,origin,style
1712,Make Them Suffer,25,2008,Australia,Symphonic deathcore
1713,Michael Schenker's Temple Of Rock,25,1979,Germany,Hard rock
1714,Moi Dix Mois,25,2002,Japan,Symphonic gothic
1715,Mustasch,25,1998,Sweden,Heavy
1716,Odroerir,25,1998,Germany,Pagan folk
1717,Pillorian,25,2016,USA,Atmospheric black
1718,Sanctity,25,2000,USA,Melodic thrash
1719,Saviour Machine,25,1989,USA,Gothic
1720,Sinamore,25,1998,Finland,Gothic
1721,Sons Of Aeon,25,2009,Finland,Melodic death
1722,Steelheart,25,1990,USA,Glam
1723,Stone,25,1985,Finland,Speed
1724,The Howling Void,25,2007,USA,Funeral doom
1725,The Prophecy,25,2001,United Kingdom,Death doom
1726,Thronar,25,1998,Netherlands,Atmospheric black
1727,Toundra,25,2007,Spain,Instrumental post-metal
1728,Tremonti,25,2011,USA,Heavy
1729,Visceral Bleeding,25,1999,Sweden,Brutal death
1730,Winter,25,1988,USA,Death doom
1731,Alarum,24,1992,Australia,Progressive
1732,Barón Rojo,24,1980,Spain,Hard rock
1733,Battle Of Mice,24,2005,USA,Post-metal
1734,Benedictum,24,2005,USA,Heavy
1735,Bison B.C.,24,2006,Canada,Sludge
1736,Black Country Communion,24,2009,USA,Hard rock
1737,Carnal Forge,24,1997,Sweden,Death
1738,Cemetary,24,1989,Sweden,Death
1739,Demon,24,1979,United Kingdom,New wave of british heavy
1740,Diamond Plate,24,2004,USA,Thrash
1741,Disincarnate,24,1992,USA,Death
1742,End Of You,24,2003,Finland,Suomi
1743,Eulen,24,2009,Syrian Arab Republic,Doom
1744,Forsaken,24,1990,Malta,Doom
1745,Galloglass,24,1999,Germany,Power
1746,Grave Miasma,24,2006,United Kingdom,Death
1747,Harmony,24,2000,Sweden,Progressive power
1748,Hatriot,24,2010,USA,Thrash
1749,Headspace,24,2006,United Kingdom,Progressive
1750,Horseback,24,2006,USA,Ambient
1751,Hoth,24,2011,USA,Melodic black
1752,Hunter,24,1986,Poland,Thrash
1753,Indian,24,2003,USA,Blackened sludge
1754,Living Sacrifice,24,1989,USA,Death
1755,Naildown,24,2003,Finland,Melodic death
1756,One Man Army And The Undead Quartet,24,2004,Sweden,Death
1757,Prototype,24,1994,USA,Progressive
1758,Regurgitate,24,1990,Sweden,Goregrind
1759,Sahg,24,2004,Norway,Stoner
1760,Severed Savior,24,1999,USA,Brutal death
1761,Spheric Universe Experience,24,1999,France,Progressive
1762,Tokyo Blade,24,1982,United Kingdom,New wave of british heavy
1763,Votum,24,2003,Poland,Heavy
1764,Ade,23,2007,Italy,Death
1765,Anti,23,2004,Germany,Depressive black
1766,Arch/Matheos,23,2010,USA,Progressive
1767,Believer,23,1986,USA,Technical thrash
1768,Blaze Of Perdition,23,2004,Poland,Black
1769,Byfrost,23,2007,Norway,Black
1770,Catacombs,23,2000,USA,Funeral doom
1771,Conan,23,2006,United Kingdom,Doom
1772,Count Raven,23,1989,Sweden,Doom
1773,Cripper,23,2005,Germany,Thrash
1774,Darkest Era,23,2005,United Kingdom,Folk
1775,Defiance,23,1985,USA,Thrash
1776,Demonica,23,2008,Denmark,Thrash
1777,Downfall Of Gaia,23,2008,Germany,Atmospheric sludge
1778,Fifth Angel,23,1983,USA,Us power
1779,Galar,23,2004,Norway,Viking black
1780,Helltrain,23,2002,Sweden,Death '
1781,Hypomanie,23,2007,Netherlands,Shoegaze 
1782,Inter Arma,23,2006,USA,Blackened sludge
1783,Iommi,23,2000,United Kingdom,Heavy
1784,Kipelov,23,1997,Russian Federation,Heavy
1785,Mantic Ritual,23,2005,USA,Thrash
1786,Massacra,23,1986,France,Death
1787,Mechanical Poet,23,2002,Russian Federation,Symphonic progressive
1788,Mindplotter,23,2008,Ukraine,Math
1789,Misery Signals,23,2002,USA,Metalcore
1790,Nasheim,23,2001,Sweden,Black
1791,Nazxul,23,1993,Australia,Black
1792,Obscurity,23,1997,Germany,Pagan folk
1793,Ramp,23,1989,Portugal,Heavy
1794,Regarde Les Hommes Tomber,23,2011,France,Black
1795,Runemagick,23,1990,Sweden,Death
1796,Shrinebuilder,23,2008,USA,Doom
1797,Stormwitch,23,1979,Germany,Heavy
1798,Thanatos,23,1984,Netherlands,Death
1799,The Hourglass,23,2002,Syrian Arab Republic,Heavy
1800,The Provenance,23,1995,Sweden,Experimental gothic
1801,The Rotted,23,1997,United Kingdom,Grindcore
1802,Today Is The Day,23,1992,USA,Hardcore
1803,Vampiria,23,1997,Argentina,Blackened gothic
1804,Wormlust,23,2003,Iceland,Black
1805,Yyrkoon,23,1995,France,Death
1806,Zonata,23,1998,Sweden,Power
1807,Ørkenkjøtt,22,2005,Norway,Extreme progressive
1808,Acherontas,22,2007,Greece,Black
1809,Alabama Thunderpussy,22,1996,USA,Stoner
1810,Antediluvian,22,2006,Canada,Blackened death
1811,Argus,22,2005,USA,Doom
1812,Black Fast,22,2010,USA,Thrash
1813,Breakdown Of Sanity,22,2007,Switzerland,Metalcore
1814,Celeste,22,2005,France,Black
1815,Chaos Moon,22,2004,USA,Atmospheric black
1816,Christ Agony,22,1990,Poland,Black
1817,Comatose Vigil,22,2003,Russian Federation,Funeral doom
1818,Crimson Moonlight,22,1997,Sweden,Black
1819,De Profundis,22,2005,United Kingdom,Death doom
1820,Demians,22,2007,France,Alternative rock
1821,Descending,22,2007,Greece,Gothenburg
1822,Dreamscape,22,1986,Germany,Progressive
1823,For Today,22,2005,USA,Metalcore
1824,Frailty,22,2003,Latvia,Death doom
1825,Genghis Tron,22,2004,USA,Cyber grindcore
1826,Gernotshagen,22,1999,Germany,Pagan black
1827,Happy Days,22,2004,USA,Depressive black
1828,Hatchet,22,2006,USA,Bay area thrash
1829,How Like A Winter,22,1999,Italy,Gothic doom
1830,Liege Lord,22,1982,USA,Us power
1831,Loudblast,22,1985,France,Death
1832,Lychgate,22,2001,United Kingdom,Progressive black
1833,Mütiilation,22,1991,France,Black
1834,Magrudergrind,22,2002,USA,Grindcore
1835,Michael Kiske,22,1996,Germany,Hard rock
1836,Misanthrope,22,1988,France,Melodic death
1837,Nirvana 2002,22,1988,Sweden,Death
1838,Orphanage,22,1993,Netherlands,Melodic death
1839,Ovid's Withering,22,2010,USA,Blackened deathcore
1840,Realm,22,1985,USA,Progressive thrash
1841,Repugnant,22,1998,Sweden,Death
1842,Rob Rock,22,2000,USA,Us power
1843,RoutaSielu,22,2010,Finland,Melodic death
1844,Shadowside,22,2001,Brazil,Power
1845,Signum Regis,22,2007,Slovak Republic,Progressive
1846,Sombres Forêts,22,2005,Canada,Black
1847,Sunpocrisy,22,2007,Italy,Progressive death
1848,Symphorce,22,1998,Germany,Power
1849,The Arcane Order,22,2000,Denmark,Melodic death
1850,The Browning,22,2005,USA,Metalcore
1851,The Flight Of Sleipnir,22,2007,USA,Doom
1852,Turbo,22,1980,Poland,Hard rock
1853,Until Death Overtakes Me,22,1999,Belgium,Funeral doom
1854,Vinnie Moore,22,1986,USA,Hard rock
1855,Viraemia,22,2008,USA,Brutal death
1856,Voices,22,2011,United Kingdom,Black
1857,Wormphlegm,22,2000,Finland,Funeral doom
1858,Act Of Defiance,21,2014,USA,Heavy
1859,Aes Dana,21,1994,France,Atmospheric black
1860,Aeveron,21,2002,Germany,Melodic death
1861,Aluk Todolo,21,2004,France,Black
1862,Armory,21,2001,USA,Power
1863,Autumnia,21,2003,Ukraine,Melodic death
1864,Avrigus,21,1995,Australia,Gothic doom
1865,Blazing Eternity,21,1993,Denmark,Atmospheric doom
1866,Catafalque,21,1997,Turkey,Gothic
1867,Chalice Of Doom,21,2010,Jordan,Melodic death
1868,Chthe'ilist,21,2010,Canada,Death
1869,Cruciamentum,21,2005,United Kingdom,Death
1870,Divinity,21,1999,Canada,Progressive death
1871,Dol Ammad,21,2000,Greece,Electronic symphonic
1872,Dreamland,21,2003,Sweden,Heavy
1873,Eisregen,21,1995,Germany,Gothic black
1874,Eyefear,21,1994,Australia,Progressive
1875,Fear Of Domination,21,2006,Finland,Melodic death
1876,First Fragment,21,2007,Canada,Technical death
1877,Frequency Of Butterfly Wings,21,2009,Iran,Melodic death
1878,Fuck The Facts,21,1999,Canada,Grindcore
1879,Grey Heaven Fall,21,2006,Russian Federation,Black
1880,Gruesome,21,2014,USA,Death
1881,Illogicist,21,1997,Italy,Technical death
1882,Insect Warfare,21,2004,USA,Grindcore
1883,Ion Dissonance,21,2002,Canada,Deathcore
1884,Istapp,21,2005,Sweden,Melodic black
1885,Kriegsmaschine,21,2002,Poland,Black
1886,Mörk Gryning,21,1993,Sweden,Black
1887,Mar?olea,21,2008,Romania,Pagan black
1888,Nevid,21,2004,Russian Federation,Pagan folk
1889,Nostradameus,21,1998,Sweden,Power
1890,Phantasma (NED),21,2015,Netherlands,Symphonic
1891,Psyopus,21,2002,USA,Metalcore
1892,Rise Of Avernus,21,2010,Australia,Progressive gothic
1893,Sarke,21,2008,Norway,Black
1894,Serious Black,21,2013,Germany,Power
1895,Seth,21,1995,France,Black
1896,Supreme Majesty,21,1999,Sweden,Power
1897,Symphonity,21,1994,Czech Republic,Symphonic power
1898,The Wretched End,21,2008,Norway,Death
1899,Unholy,21,1988,Finland,Death doom
1900,Valtari,21,2010,Australia,Melodic death
