,band_name,fans,formed,origin,style
2370,Fyrnask,13,2008,Germany,Black
2371,Grailknights,13,2002,Germany,Gothenburg
2372,Hortus Animae,13,1997,Italy,Symphonic black
2373,Human Rejection,13,2005,Greece,Brutal death
2374,In Malice's Wake,13,2001,Australia,Thrash
2375,In Slumber,13,2002,Austria,Melodic death
2376,Interment,13,1988,Sweden,Death
2377,Intruder,13,1984,USA,Technical thrash
2378,Jordan Rudess,13,1988,USA,Progressive
2379,Kaamos,13,1998,Sweden,Death
2380,Kadenzza,13,1993,Japan,Avantgarde black
2381,Karelia,13,1999,France,Symphonic power
2382,Kult Ov Azazel,13,2000,USA,Black
2383,Liv Moon,13,2009,Japan,Symphonic
2384,Lord Vampyr,13,2004,Italy,Black
2385,Lunatic Gods,13,1993,Slovak Republic,Atmospheric black
2386,Lycus,13,2008,USA,Funeral doom
2387,Mantar,13,2012,Germany,Sludge
2388,Modern Day Babylon,13,2010,Czech Republic,Progressive
2389,Murder Construct,13,2001,USA,Deathgrind
2390,Obsession,13,1982,USA,Us power
2391,Panzer (GER),13,2014,Germany,Heavy
2392,Pathosray,13,2000,Italy,Progressive
2393,Plebeian Grandstand,13,2005,France,Black
2394,Probot,13,2001,USA,Heavy
2395,Psygnosis,13,2009,France,Extreme progressive
2396,Purtenance,13,1989,Finland,Death
2397,Quorthon,13,1993,Sweden,Alternative
2398,Redwood Hill,13,2010,Denmark,Post-metal
2399,Reverence,13,1998,France,Black
2400,Saga,13,1977,Canada,Progressive rock
2401,Selvans,13,2014,Italy,Atmospheric black
2402,Septycal Gorge,13,2004,Italy,Brutal death
2403,Sir Lord Baltimore,13,1968,USA,Heavy
2404,Skáphe,13,2014,USA,Black
2405,Sleestak,13,2003,USA,Stoner
2406,Sotajumala,13,1998,Finland,Death
2407,Soul Secret,13,2004,Italy,Progressive
2408,Sound Storm,13,2002,Italy,Symphonic power
2409,Soziedad Alkoholika,13,1988,Spain,Crossover thrash
2410,Spitfire,13,1984,Greece,Power
2411,Switchtense,13,2002,Portugal,Groove thrash
2412,Synestesia,13,2001,Finland,Gothenburg
2413,Talanas,13,2008,United Kingdom,Progressive death
2414,The Legion,13,1999,Sweden,Black
2415,The SLoT,13,2002,Russian Federation,Alternative
2416,The Slow Death,13,2007,Australia,Death doom
2417,The Spektrum,13,2005,Portugal,Death
2418,Thine Eyes Bleed,13,2002,Canada,Death
2419,This Ending,13,2005,Sweden,Melodic death
2420,Thy Darkened Shade,13,1999,Greece,Black
2421,Tim Ripper Owens,13,2008,USA,Heavy
2422,Tomorrow's Eve,13,1998,Germany,Progressive
2423,Trollech,13,1999,Czech Republic,Pagan black
2424,Trooper,13,1995,Romania,Heavy
2425,Vanhelgd,13,2007,Sweden,Death
2426,Vanir,13,2009,Denmark,Viking folk
2427,Vastum,13,2009,USA,Death
2428,Vendetta (GER),13,1984,Germany,Thrash
2429,Vhöl,13,2012,USA,Heavy
2430,Visceral Disgorge,13,2007,USA,Brutal death
2431,Voices Of Destiny,13,2004,Germany,Symphonic
2432,Wargasm,13,1982,USA,Thrash
2433,World Under Blood,13,2006,USA,Melodic death
2434,Aarni,12,1998,Finland,Avantgarde
2435,Addaura,12,2008,USA,Experimental black
2436,Anarchadia,12,2012,Syrian Arab Republic,Thrash
2437,Apathy Noir,12,2003,Sweden,Death doom
2438,Aras,12,2001,Iran,Atmospheric black
2439,Atriarch,12,2009,USA,Blackened doom
2440,Backyard Babies,12,1987,Sweden,Hard rock
2441,Black River,12,2008,Poland,Heavy
2442,Black Wreath,12,2002,Denmark,Funeral doom
2443,Bloody Panda,12,2003,USA,Drone doom
2444,Botch,12,1993,USA,Math
2445,Burnt By The Sun,12,1999,USA,Metalcore
2446,Caïna,12,2004,United Kingdom,Black
2447,Castle,12,2009,USA,Doom
2448,Cripple Bastards,12,1988,Italy,Grindcore
2449,Damned Spirits' Dance,12,2002,Hungary,Black
2450,Devolved,12,1996,Australia,Death
2451,Domain,12,1988,Germany,Power
2452,Dream Death,12,1985,USA,Doom
2453,Eïs,12,2010,Germany,Black
2454,Eidolon,12,1993,Canada,Power
2455,Elegeion,12,1995,Australia,Doom
2456,Emyn Muil,12,2012,Italy,Atmospheric black
2457,Entropia (POL),12,2007,Poland,Black
2458,Explode,12,1999,Iran,Progressive
2459,Foscor,12,1997,Spain,Black
2460,Gospel Of The Horns,12,1993,Australia,Black
2461,Grimner,12,2008,Sweden,Folk
2462,Häive,12,2002,Finland,Black
2463,Hammercult,12,2010,Israel,Death
2464,Hermh,12,1993,Poland,Black
2465,Holy Blood,12,1999,Ukraine,Hardcore
2466,Holy Knights,12,1998,Italy,Power
2467,Impious,12,1994,Sweden,Death
2468,In-Quest,12,1994,Belgium,Technical death
2469,Izah,12,2006,Netherlands,Sludge
2470,Kistvaen,12,2008,Romania,Black
2471,Kraanium,12,2001,Norway,Brutal death
2472,Letzte Instanz,12,1996,Germany,Folk
2473,Lords Of Black,12,2014,Spain,Heavy
2474,Luna Ad Noctum,12,1998,Poland,Symphonic black
2475,Macabre Omen,12,1994,Greece,Pagan black
2476,Majestic,12,1997,Sweden,Power
2477,Mencea,12,2004,Greece,Progressive death
2478,Minority Sound,12,2007,Czech Republic,Electronic industrial
2479,Miserere Luminis,12,2008,Canada,Black
2480,Nebelhorn,12,2004,Germany,Viking black
2481,Neonfly,12,2008,United Kingdom,Power
2482,No Return,12,1989,France,Death
2483,Oathbreaker,12,2008,Belgium,Black
2484,Obsidian,12,1997,Netherlands,Progressive death
2485,Otargos,12,2001,France,Black
2486,Pegazus,12,1993,Australia,Heavy
2487,Philip H. Anselmo & The Illegals,12,2011,USA,Sludge
2488,Porta Nigra,12,2010,Germany,Avantgarde black
2489,Portrait,12,2006,Sweden,Heavy
2490,Psychostick,12,2000,USA,Groove thrash
2491,Razorwyre,12,2008,New Zealand,Thrash
2492,Salamandra,12,1998,Czech Republic,Power
2493,Sanctification,12,2001,Sweden,Death
2494,Sarpanitum,12,2003,United Kingdom,Brutal death
2495,Scorpion Child,12,2006,USA,Hard rock
2496,Seven Witches,12,1998,USA,Heavy
2497,Sivyj Yar,12,2006,Russian Federation,Pagan black
2498,Soulgrind,12,1992,Finland,Black
2499,Spires,12,2008,United Kingdom,Extreme progressive
2500,Spiritus Mortis,12,1987,Finland,Doom
2501,Survivor,12,1976,USA,Heavy
2502,Survivors Zero,12,2006,Finland,Melodic death
2503,Symbyosis,12,1998,France,Progressive death
2504,Tarantula,12,1981,Portugal,Power
2505,Temple Of Baal,12,1998,France,Black
2506,The Fading,12,2006,Israel,Melodic death
2507,The Safety Fire,12,2006,United Kingdom,Progressive
2508,Theudho,12,2003,Belgium,Pagan black
2509,Thrown To The Sun,12,2010,Turkey,Progressive death
2510,Torture Division,12,2007,Sweden,Death
2511,Unearthly Trance,12,2000,USA,Doom
2512,V8,12,1979,Argentina,Heavy
2513,White Walls,12,2009,Romania,Progressive
2514,Wilds Forlorn,12,2008,Netherlands,Atmospheric black
2515,Winter In Eden,12,2007,United Kingdom,Symphonic gothic
2516,Woe,12,2007,USA,Black
2517,5ive,11,2000,USA,Sludge
2518,Abgott,11,1997,United Kingdom,Black
2519,Abiotic,11,2010,USA,Progressive deathcore
2520,Abske Fides,11,2003,Brazil,Funeral doom
2521,Across The Sun,11,2004,USA,Metalcore
2522,Aeba,11,1992,Germany,Black
2523,Aeon Of Horus,11,2006,Australia,Progressive death
2524,Agonizer,11,1998,Finland,Heavy
2525,Akrea,11,2005,Germany,Melodic death
2526,Alterbeast,11,2013,USA,Technical death
2527,Ancestral Legacy,11,1995,Norway,Symphonic black
2528,Animations,11,2007,Poland,Progressive
2529,Antropomorphia,11,1989,Netherlands,Death
2530,Argus Megere,11,2005,Romania,Black
2531,Arwen,11,1996,Spain,Power
2532,Astra (USA),11,2006,USA,Progressive rock
2533,Audrey Horne,11,2002,Norway,Hard rock
2534,Black Tongue,11,2013,United Kingdom,Deathcore
2535,Black Witchery,11,1991,USA,Black
2536,Blood Feast,11,1986,USA,Death
2537,Blood Of Kingu,11,2005,Ukraine,Black
2538,Bonfire,11,1985,Germany,Hard rock
2539,Canopy,11,2002,Sweden,Melodic death
2540,Creation's End,11,2003,USA,Progressive
2541,Cronian,11,2005,Norway,Progressive
2542,Crystal Ball,11,1995,Switzerland,Power
2543,Dark Quarterer,11,1974,Italy,Heavy
2544,Dead To A Dying World,11,2010,USA,Blackened doom
2545,Desecravity,11,2007,Japan,Technical death
2546,Duskmourn,11,2012,USA,Folk
2547,Dylath-Leen,11,1999,France,Melodic death
2548,Elfonía,11,2001,Mexico,Progressive
2549,Enforsaken,11,1998,USA,Gothenburg
2550,Eschatos,11,2012,Latvia,Progressive black
2551,Ethereal Shroud,11,2013,United Kingdom,Black
2552,Evertale,11,2007,Germany,Power
2553,Farsot,11,1999,Germany,Black
2554,Faustcoven,11,2002,Norway,Black
2555,Fear Of Eternity,11,2000,Italy,Atmospheric black
2556,Fleshgrind,11,1993,USA,Death
2557,Frantic Amber,11,2008,Sweden,Melodic death
2558,Fukpig,11,2001,United Kingdom,Black
2559,Fungoid Stream,11,2003,Argentina,Funeral doom
2560,Gaia Epicus,11,1992,Norway,Power
2561,Golem,11,2000,Italy,Melodic death
2562,Gyze,11,2009,Japan,Extreme power
2563,Headhunter,11,1989,Germany,Power
2564,Hexx,11,1983,USA,Us power
2565,Himinbjorg,11,1996,France,Pagan black
2566,Horn,11,2003,Germany,Black
2567,House Of Lords,11,1988,USA,Hard rock
2568,In Lingua Mortua,11,1999,Norway,Melodic black
2569,Iniquity,11,1989,Denmark,Technical death
2570,Iron Angel,11,1980,Germany,Power
2571,Ironsword,11,1995,Portugal,Heavy
2572,Irreversible,11,2005,USA,Atmospheric sludge
2573,IXXI,11,2006,Sweden,Black
2574,Liturgy (US-NY),11,2005,USA,Experimental black
2575,Lycanthia,11,1996,Australia,Death doom
2576,Malpractice,11,1994,Finland,Thrash
2577,Memoira,11,2007,Finland,Gothic
2578,Messenger,11,1990,Germany,Heavy
2579,Mindflow,11,2003,Brazil,Progressive
2580,Morifade,11,1992,Sweden,Power
2581,Mortem,11,1986,Peru,Death
2582,Mournful Gust,11,1999,Ukraine,Death doom
2583,Nidingr,11,1992,Norway,Black
2584,Nominon,11,1993,Sweden,Blackened death
2585,Nylithia,11,2008,Canada,Thrash
2586,Omb,11,2009,Israel,Progressive
2587,Omega Massif,11,2005,Germany,Sludge
2588,Pain Confessor,11,2002,Finland,Melodic death
2589,Phobia,11,1990,USA,Grindcore
2590,Pitchshifter,11,1989,United Kingdom,Industrial
2591,Power Symphony,11,1994,Italy,Power
2592,Puteraeon,11,2008,Sweden,Death
2593,Radiance (FIN),11,2007,Finland,Progressive
2594,Radogost,11,2006,Poland,Folk
2595,Rwake,11,1996,USA,Doom
2596,Sacred Steel,11,1997,Germany,Heavy
2597,Samhain,11,1983,USA,Death rock
2598,Sanatorium,11,1987,Macedonia FYR,Speed
2599,Serenity In Murder,11,2009,Japan,Symphonic black
2600,Shadow,11,1993,Japan,Melodic death
2601,Shadowsphere,11,2000,Portugal,Gothenburg
2602,Shattered Skies,11,2011,Ireland,Progressive
2603,Shear,11,2008,Finland,Power
2604,Soilent Green,11,1988,USA,Sludge
2605,Steel Prophet,11,1983,USA,Us power
2606,Sumac,11,2014,USA,Post-metal
2607,Sworn Enemy,11,1997,USA,Metalcore
2608,Sylvaine,11,2013,Norway,Atmospheric black
2609,Tears Of Martyr,11,1996,Spain,Gothic
2610,Tempel,11,2003,USA,Extreme progressive
2611,The Great Kat,11,1986,USA,Neoclassical heavy
2612,Thunder,11,1989,United Kingdom,Hard rock
2613,Twilight Guardians,11,1996,Finland,Power
2614,Twilight Of The Gods,11,2010,,Heavy
2615,Vanguard,11,1999,Finland,Gothic
2616,Viking,11,1985,USA,Thrash
2617,Virgin Snatch,11,2001,Poland,Thrash
2618,Weeping Birth,11,1999,Switzerland,Brutal death
2619,With The Dead,11,2014,United Kingdom,Doom
2620,Wolvhammer,11,2008,USA,Blackened sludge
2621,Zhrine,11,2015,Iceland,Death
2622,Zyklon-B,11,1995,Norway,Black
2623,Àrsaidh,10,2012,United Kingdom,Atmospheric black
2624,6:33,10,2010,France,Alternative
2625,A Dream Of Poe,10,2005,Portugal,Doom
2626,A Million Dead Birds Laughing,10,2008,Australia,Technical death
2627,Abattoir,10,1982,USA,Speed
2628,Abstract Spirit,10,2006,Russian Federation,Funeral doom
2629,Adimiron,10,1999,Italy,Melodic death
2630,After Oblivion,10,2007,Bosnia and Herzegovina,Technical thrash
2631,Against The Plagues,10,2005,USA,Symphonic black
2632,Alaskan,10,2008,Canada,Sludge
2633,Alpine Fault,10,2005,Australia,Melodic progressive
2634,Alunah,10,2006,United Kingdom,Doom
2635,Andras,10,1994,Germany,Black
2636,Anomalie,10,2011,Austria,Black
2637,Atrocious Abnormality,10,2006,USA,Brutal death
2638,Autumn's Dawn,10,2013,Australia,Depressive black
2639,Betzefer,10,1997,Israel,Death
2640,Blaakyum,10,1995,Lebanon,Doom
2641,Brimstone Coven,10,2011,USA,Doom
2642,Casketgarden,10,1998,Hungary,Thrash
2643,Catalepsia,10,2005,Latvia,Gothic doom
2644,Cautiva,10,2007,Spain,Thrash
2645,Celestial Crown,10,1999,Estonia,Black
2646,Cnoc An Tursa,10,2006,United Kingdom,Folk
2647,Cult Of Herodias,10,2012,USA,Doom
2648,D'espairsRay,10,1999,Japan,Industrial
2649,Dark At Dawn,10,1993,Germany,Power
2650,Dawn Of Azazel,10,1997,New Zealand,Death
2651,Dawn Of Disease,10,2003,Germany,Death
2652,Dawnless,10,2003,Switzerland,Heavy
2653,Death Fetishist,10,2015,USA,Psychedelic black
2654,Dee Snider,10,1997,USA,Heavy
2655,Defiled,10,1992,Japan,Brutal death
2656,Defleshed,10,1991,Sweden,Death
2657,Demisery,10,2011,USA,Death
2658,Diathra,10,1995,Belarus,Doom
2659,Diocletian,10,2004,New Zealand,Black
2660,Disentomb,10,2009,Australia,Brutal death
2661,Disforia,10,2007,USA,Power
2662,Disharmonic Orchestra,10,1987,Austria,Death
2663,Dissenter,10,1989,Poland,Brutal death
2664,Divine Empire,10,1997,USA,Death
2665,Dreamaker,10,2003,Spain,Power
2666,Dreaming Dead,10,2006,USA,Death
2667,Dyrathor,10,2006,Germany,Pagan folk
2668,Dyscordia,10,2010,Belgium,Progressive
2669,Dysrhythmia,10,1998,USA,Technical progressive
2670,Ebonylake,10,1997,United Kingdom,Avantgarde
2671,Embryonic Devourment,10,2002,USA,Brutal death
2672,Emeth,10,1997,Belgium,Death
2673,Eternal Gray,10,2001,Israel,Technical death
2674,Fall Of Serenity,10,1998,Germany,Gothenburg
2675,Faster Pussycat,10,1986,USA,Hard rock
2676,Fjorsvartnir,10,2007,Denmark,Melodic black
2677,Gadget,10,1999,Sweden,Grindcore
2678,Gates Of Winter,10,2003,Canada,Symphonic progressive
2679,Geezer,10,1985,USA,Heavy
2680,Ghost Machinery,10,2002,Finland,Power
2681,Girugämesh,10,2003,Japan,J rock
2682,Godkiller,10,1994,Monaco,Death
2683,Grave Flowers,10,1993,Sweden,Doom
2684,Guillotine,10,1995,Sweden,Thrash
2685,Halloween,10,1981,USA,Heavy
2686,Heidra,10,2006,Denmark,Viking folk
2687,Hollow Haze,10,2003,Italy,Progressive heavy
2688,Irreversible Mechanism,10,2012,Belarus,Technical death
2689,Ivory Tower,10,1996,Germany,Progressive
2690,Kabát,10,1983,Czech Republic,Thrash
2691,Lana Lane,10,1995,USA,Progressive
2692,Lay Down Rotten,10,1999,Germany,Death
2693,Light Bearer,10,2010,United Kingdom,Post-metal
2694,Livsnekad,10,2007,Sweden,Black
2695,Lord Dying,10,2010,USA,Sludge
2696,Luciferian Light Orchestra,10,2014,Sweden,Psychedelic rock
2697,Ludicra,10,1998,USA,Black
2698,Lunaris,10,1998,Norway,Progressive black
2699,McAuley Schenker Group,10,1986,Germany,Hard rock
2700,Miasmal,10,2007,Sweden,Death
2701,Misery Loves Co.,10,1993,Sweden,Industrial
2702,Monolord,10,2013,Sweden,Stoner
2703,Mortillery,10,2008,Canada,Thrash
2704,Morton,10,2009,Ukraine,Heavy
2705,Mythological Cold Towers,10,1994,Brazil,Doom
2706,Neuromist,10,2004,Moldova,Progressive death
2707,Night Of Suicide,10,2005,Netherlands,Funeral doom
2708,Nine Treasures,10,2011,China,Folk
2709,Noisem,10,2013,USA,Death
2710,Nordheim,10,2006,Canada,Blackened folk
2711,Northlane,10,2009,Australia,Progressive metalcore
2712,Opprobrium,10,1999,USA,Death
2713,Orakle,10,1994,France,Atmospheric black
2714,Ortega,10,2007,Netherlands,Doom
2715,Outcast,10,1998,France,Progressive thrash
2716,Potentiam,10,1997,Iceland,Avantgarde black
2717,Prey For Nothing,10,2005,Israel,Melodic death
2718,Razor Of Occam,10,1998,Australia,Black
2719,Satura,10,2008,Iran,Metalcore
2720,Scream Silence,10,1998,Germany,Gothic
2721,Secrets Of The Sky,10,2010,USA,Black
2722,Sight Of Emptiness,10,2005,Costa Rica,Gothenburg
2723,Syn Ze ?ase Tri,10,2007,Romania,Symphonic black
2724,Tales Of Dark...,10,2001,Serbia,Death doom
2725,The Interbeing,10,2006,Denmark,Industrial
2726,The Poodles,10,2005,Sweden,Glam
2727,The Resistance,10,2011,Sweden,Death
2728,Thränenkind,10,2007,Germany,Black
2729,Twilight,10,2004,USA,Black
2730,Valient Thorr,10,2000,USA,Heavy
2731,Waldgeflüster,10,2005,Germany,Black
2732,Waning,10,2007,Sweden,Progressive black
2733,Wind Rose,10,2009,Italy,Progressive
2734,Within Y,10,2002,Sweden,Melodic death
2735,Abandoned,9,1999,Germany,Thrash
2736,Abidetherein,9,2010,Syrian Arab Republic,Black
2737,Abscess,9,1994,USA,Death
2738,Acid Reign,9,1985,United Kingdom,Thrash
2739,Afgrund,9,2006,Sweden,Grindcore
2740,Alpha Tiger,9,2007,Germany,Thrash
2741,Anup Sastry,9,2012,USA,Progressive
2742,Arbor,9,2011,USA,Doom
2743,Arrow Haze,9,2011,Belgium,Hard rock
2744,Arsafes,9,2009,Russian Federation,Extreme progressive
2745,As You Drown,9,2001,Sweden,Death
2746,Bare Infinity,9,2003,Greece,Symphonic power
2747,Beneath,9,2007,Iceland,Technical death
2748,Cadavrul,9,2005,Romania,Death
2749,Cangaço,9,2010,Brazil,Progressive death
2750,Cans,9,2003,Sweden,Heavy
2751,Cardiant,9,2000,Finland,Power
2752,Carnophage,9,2006,Turkey,Technical death
2753,Catharsis,9,1996,Russian Federation,Doom
2754,Celestial Season,9,1991,Netherlands,Death
2755,Chain Reaction,9,2002,Poland,Groove thrash
2756,Chris Caffery,9,2003,USA,Progressive power
2757,Confessor,9,1986,USA,Doom
2758,Crown,9,2011,France,Doom
2759,Diminished,9,2005,USA,Brutal death
2760,Dirge Within,9,2007,USA,Thrash
2761,Discordance Axis,9,1992,USA,Grindcore
2762,Divlje Jagode,9,1976,Bosnia and Herzegovina,Heavy
2763,Domovoyd,9,2010,Finland,Psychedelic stoner
2764,Dotma,9,2005,Finland,Symphonic power
2765,Drautran,9,1996,Germany,Black
2766,Ebony Ark,9,2002,Spain,Power
2767,Echoterra,9,2007,USA,Symphonic
2768,Ecnephias,9,1996,Italy,Blackened death
2769,Eden Circus,9,2010,Germany,Alternative
2770,Emir Hot,9,2007,Bosnia and Herzegovina,Progressive
2771,Enthrallment,9,1998,Bulgaria,Brutal death
2772,Eudaimony,9,2007,Germany,Post-metal
2773,Evil Invaders,9,2007,Belgium,Speed
2774,Exsecratus,9,2004,Finland,Melodic death
2775,Fogalord,9,2007,Italy,Power
2776,Graves At Sea,9,2002,USA,Doom
2777,Heir Apparent,9,1983,USA,Progressive
2778,Hevisaurus,9,2009,Finland,Heavy
2779,Hjarnidaudi,9,2005,Norway,Drone doom
2780,Hope For The Dying,9,2006,USA,Progressive death
2781,Horde,9,1994,Australia,Black
2782,Human Mincer,9,1996,Spain,Brutal death
2783,Icon & The Black Roses,9,1999,Portugal,Gothic
2784,Illuminandi,9,1998,Poland,Gothic folk
2785,Inner Sanctum,9,2006,India,Death
2786,Innosense,9,2005,Greece,Melodic progressive
2787,Iris,9,1977,Romania,Hard rock
2788,Japanische Kampfhörspiele,9,1998,Germany,Grindcore
2789,Jucifer,9,1993,USA,Alternative rock
2790,Khthoniik Cerviiks,9,2013,Germany,Black
2791,Latitudes,9,2006,United Kingdom,Post-metal
2792,Los Random,9,2009,Argentina,Progressive
2793,Loss (USA),9,2003,USA,Funeral doom
2794,Mastercastle,9,2008,Italy,Heavy
2795,Memory Garden,9,1992,Sweden,Heavy
2796,Moby Dick,9,1980,Hungary,Thrash
2797,Moonlight Agony,9,1999,Sweden,Power
2798,Mordred,9,1984,USA,Thrash
2799,Mortals,9,2009,USA,Sludge
2800,Naðra,9,2008,Iceland,Black
2801,Narrow House,9,2008,Ukraine,Funeral doom
2802,Nemertines,9,2009,Russian Federation,Progressive math
2803,Nhor,9,2009,United Kingdom,Atmospheric black
2804,Nucleus Torn,9,1997,Switzerland,Alternative
2805,Oak Pantheon,9,2011,USA,Melodic black
2806,Oracles,9,2014,Belgium,Melodic death
2807,Ordinance,9,2009,USA,Progressive death
2808,Paganizer,9,1998,Sweden,Death
2809,Pandemia,9,1995,Czech Republic,Death
2810,Pantheon I,9,2002,Norway,Black
2811,Pantommind,9,1993,Bulgaria,Progressive
2812,Rebel Meets Rebel,9,1999,USA,Heavy
2813,Ribspreader,9,2002,Sweden,Death
2814,Sacred Oath,9,1985,USA,Us power
2815,Samsara Blues Experiment,9,2007,Germany,Stoner
2816,Satyrian,9,2004,Netherlands,Gothic
2817,Savn,9,2013,Norway,Symphonic gothic
2818,Sole Remedy,9,1998,Finland,Atmospheric progressive
2819,Sorcerer,9,1988,Sweden,Epic doom
2820,Sortilège,9,1981,France,Heavy
2821,Soulitude,9,2006,Spain,Power
2822,Stille Volk,9,1994,France,Medieval folk
2823,Subversion,9,2008,United Kingdom,Melodic death
2824,Success Will Write Apocalypse Across The Sky,9,2006,USA,Deathgrind
2825,Taak,9,2005,Estonia,Doom
2826,Terhen,9,2004,Finland,Atmospheric doom
2827,The Bereaved,9,1998,Sweden,Gothenburg
2828,The Crest,9,1996,Norway,Gothic
2829,The Graviators,9,2009,Sweden,Stoner
2830,Thee Orakle,9,2004,Portugal,Progressive death
2831,Timeghoul,9,1987,USA,Progressive death
2832,Uada,9,2014,USA,Black
2833,Vengeful,9,2003,Canada,Technical death
2834,Vermin Womb,9,2014,USA,Death
2835,Victory,9,1984,Germany,Heavy
2836,Visigoth,9,2010,USA,Heavy
2837,Winterhymn,9,2010,USA,Folk
2838,Aberrant Vascular,8,2003,Finland,Avantgarde
2839,Acacia,8,2012,Sweden,Black
2840,Advent Of Bedlam,8,2009,Costa Rica,Melodic death
2841,Age Of Taurus,8,2009,United Kingdom,Doom
2842,Agrimonia,8,2005,Sweden,Post-metal
2843,Akroma,8,2003,France,Progressive black
2844,Aldious,8,2008,Japan,Power
2845,Almyrkvi,8,2014,Iceland,Black
2846,Another Messiah,8,2003,Netherlands,Post-metal
2847,Apostasy,8,2000,Sweden,Black
2848,Arida Vortex,8,1998,Russian Federation,Power
2849,Asylum Pyre,8,2003,France,Progressive
2850,Bane Of Winterstorm,8,2009,Australia,Symphonic power
2851,Below The Sun,8,2012,Russian Federation,Funeral doom
2852,Bestia,8,2000,Estonia,Blackened death
2853,Black Fate,8,1990,Greece,Power
2854,Born From Pain,8,1997,Netherlands,Hardcore
2855,Britny Fox,8,1986,USA,Hard rock
2856,Cenotaph,8,1989,Mexico,Death
2857,Ceremonial Perfection,8,2007,Estonia,Melodic death
2858,Clandestine Blaze,8,1998,Finland,Black
2859,Consciousness Removal Project,8,2004,Finland,Post-metal
2860,Coram Lethe,8,1999,Italy,Melodic death
2861,Crimson Swan,8,2010,Germany,Gothic doom
2862,Crossfire,8,1998,Turkey,Power
2863,Crypt Sermon,8,2013,USA,Doom
2864,Dagor Dagorath,8,2003,Israel,Symphonic black
2865,Dark Sarah,8,2012,Finland,Gothic
2866,Darkend,8,2006,Italy,Symphonic black
2867,Deathbound,8,1995,Finland,Death
2868,Deivos,8,1997,Poland,Death
2869,Dephosphorus,8,2008,Greece,Blackened death
2870,Descend Into Despair,8,2010,Romania,Funeral doom
2871,Destrose,8,2005,Japan,Heavy
2872,Destructor,8,1984,USA,Us power
2873,Devathorn,8,2002,Greece,Black
2874,Diskord,8,1999,Norway,Progressive death
2875,Dragon Guardian,8,2006,Japan,Symphonic power
2876,Drone,8,2004,Germany,Nu thrash
2877,Dusk,8,1993,USA,Death doom
2878,E-an-na,8,2014,Romania,Folk
2879,Enid,8,1997,Germany,Symphonic black
2880,Ensoph,8,1997,Italy,Avantgarde
2881,Epizod,8,1988,Bulgaria,Heavy
2882,Evenfall,8,1997,Italy,Gothic
2883,Fairytale Abuse,8,1995,Denmark,Melodic black
2884,Fear Of God,8,1989,USA,Thrash
2885,Fit For An Autopsy,8,2008,USA,Deathcore
2886,Fleshgore,8,2000,Ukraine,Brutal death
2887,Full Of Hell,8,2009,USA,Grindcore
2888,Gallows End,8,2007,Sweden,Heavy
2889,Gaza,8,2004,USA,Grindcore
2890,Gothmog,8,2005,Spain,Melodic black
2891,Greymachine,8,2009,United Kingdom,Experimental industrial
2892,Hacktivist,8,2011,United Kingdom,Nu
2893,Hansen & Friends,8,2016,Germany,Heavy
2894,Heliosaga,8,2010,USA,Symphonic power
2895,Hellbringer,8,2010,Australia,Thrash
2896,Hellish Crossfire,8,2002,Germany,Blackened thrash
2897,Helms Alee,8,2007,USA,Sludge
2898,Horisont,8,2006,Sweden,Hard rock
2899,I Am I,8,2012,United Kingdom,Heavy
2900,Imagika,8,1993,USA,Thrash
2901,Imperial Crystalline Entombment,8,2003,USA,Black
2902,Infected Rain,8,2008,Moldova,Nu
2903,Inverloch,8,2011,Australia,Death doom
2904,Invocator,8,1986,Denmark,Speed
2905,Jack Frost,8,1989,Austria,Doom
2906,Kamijo,8,2013,Japan,Symphonic power
2907,Karybdis,8,2009,United Kingdom,Melodic death
2908,Kill The Client,8,2002,USA,Grindcore
2909,Kingfisher Sky,8,2001,Netherlands,Gothic
2910,Lyria,8,2012,Brazil,Symphonic
2911,Lyzanxia,8,1996,France,Thrash
2912,Manimal,8,2001,Sweden,Power
2913,Mares Of Thrace,8,2009,Canada,Sludge
2914,Marriages,8,2011,USA,Alternative
2915,Martyrdöd,8,2001,Sweden,Crust punk
2916,Masacre (COL),8,1988,Colombia,Death
2917,May Result,8,1995,Serbia,Black
2918,Melted Space,8,2007,France,Symphonic
2919,Mirzadeh,8,2000,Finland,Melodic black
2920,Moss,8,2000,United Kingdom,Drone doom
2921,My Lament,8,2002,Belgium,Gothic doom
2922,Nachtgeschrei,8,2006,Germany,Folk
2923,Natan,8,2002,Belgium,Pagan black
2924,Neglected Fields,8,1995,Latvia,Technical death
2925,Nehëmah,8,1992,France,Black
2926,Oath To Vanquish,8,2001,Lebanon,Black
2927,Obsidian Gate,8,1994,Germany,Symphonic black
2928,Phazm,8,2003,France,Death '
2929,Place Of Skulls,8,2000,USA,Doom
2930,Plague Widow,8,2011,USA,Deathgrind
2931,Platitude,8,1995,Sweden,Neoclassical power
2932,Primitive Graven Image,8,2006,United Kingdom,Black
2933,Putridity,8,2005,Italy,Brutal death
2934,Ravage,8,1995,USA,Heavy
2935,Rebaelliun,8,1998,Brazil,Death
2936,Recueil Morbide,8,2000,France,Brutal death
2937,Red Descending,8,2003,Australia,Melodic death
2938,Resurrected,8,1993,Germany,Brutal death
2939,Ross The Boss,8,2006,USA,Heavy
2940,S.D.I.,8,1986,Germany,Speed
2941,Sannhet,8,2010,USA,Experimental black
